Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
61.9.134.49,2020-01-30,727902,5991,1689,1577,1023,347,250,1105
61.9.188.33,2020-01-31,727902,4265,417,906,912,659,301,1070
61.9.194.49,2020-01-30,727902,6087,1918,1868,643,299,252,1107
61.9.195.193,2020-01-30,727902,5871,1783,1762,705,315,266,1040
61.9.207.1,2020-01-29,727902,3903,194,985,966,472,243,1043
61.9.211.1,2020-01-31,727902,6148,1139,1323,1690,602,245,1149
61.9.211.33,2020-01-30,727902,5931,1027,1279,1695,580,279,1071
61.9.226.33,2020-01-31,727902,6102,1199,1230,1596,625,329,1123
61.9.242.33,2020-01-31,727902,6064,428,611,2602,555,753,1115
61.10.0.130,2020-01-30,727902,32044,1845,4394,7838,6935,4400,6632
61.10.1.130,2020-01-31,727902,32091,2028,4475,8056,6771,4304,6457
61.10.1.177,2020-01-30,727902,6592,348,577,1296,1343,911,2117
61.19.251.245,2020-01-31,727902,2030,109,137,211,239,258,1076
61.19.255.134,2020-01-31,727902,12760,736,1629,1787,2025,2088,4495
61.28.10.68,2020-01-31,727902,3364,119,201,413,402,391,1838
61.31.233.1,2020-01-31,727902,46598,2395,3943,10353,8972,7386,13549
61.56.211.185,2020-01-31,727902,52203,2044,4970,12233,9394,7516,16046
61.60.224.5,2020-01-30,727902,45368,1241,4068,10056,8561,6346,15096
61.63.0.66,2020-01-31,727902,81562,3892,7749,20741,14110,9597,25473
61.74.63.1,2020-01-30,727902,2122,107,167,261,248,277,1062
61.122.116.147,2020-01-30,727902,34157,2196,2245,3702,5065,5790,15159
61.122.116.179,2020-01-30,727902,34264,2071,2287,3784,5108,5796,15218
61.128.97.73,2020-01-31,727902,2047,94,159,261,241,255,1037
61.128.97.74,2020-01-30,727902,2065,97,159,234,264,250,1061
61.128.99.133,2020-01-30,727902,2096,108,151,270,271,261,1035
61.128.99.134,2020-01-31,727902,2047,104,159,263,254,237,1030
61.128.114.133,2020-01-31,727902,2365,163,153,267,305,302,1175
61.128.114.166,2020-01-31,727902,2353,171,148,278,280,283,1193
61.128.128.66,2020-01-31,727902,2111,101,176,220,264,258,1092
61.128.128.67,2020-01-30,727902,2063,115,130,258,283,247,1030
61.128.128.68,2020-01-31,727902,2079,146,135,246,262,257,1033
61.128.192.4,2020-01-30,727902,2010,96,130,241,244,284,1015
61.128.192.68,2020-01-30,727902,2155,146,141,296,249,254,1069
61.129.64.3,2020-01-30,727902,1970,90,145,246,239,252,998
61.129.73.196,2020-01-31,727902,2075,100,149,263,267,255,1041
61.134.1.4,2020-01-31,727902,2213,176,157,264,266,261,1089
61.135.159.46,2020-01-31,727902,26569,1461,1778,3026,3824,3906,12574
61.139.2.69,2020-01-31,727902,13305,478,813,1740,2007,2164,6103
61.139.39.73,2020-01-31,727902,12153,281,545,1415,1591,2142,6179
61.139.44.68,2020-01-31,727902,11605,286,576,1405,1685,1835,5818
61.139.54.66,2020-01-30,727902,13171,299,684,1636,1824,2144,6584
61.147.37.1,2020-01-31,727902,2410,359,185,283,254,265,1064
61.152.82.18,2020-01-31,727902,7101,638,1014,789,730,648,3282
61.163.252.30,2020-01-31,727902,9439,274,502,1026,1132,1182,5323
61.166.150.123,2020-01-31,727902,22901,465,1162,4008,4009,3094,10163
61.177.7.1,2020-01-30,727902,2466,372,190,279,281,275,1069
61.178.40.8,2020-01-31,727902,9397,185,487,941,1096,1219,5469
61.187.91.18,2020-01-30,727902,9064,320,747,1470,1213,1265,4049
61.187.98.3,2020-01-30,727902,1925,88,148,257,244,230,958
61.187.98.6,2020-01-30,727902,2000,84,143,240,247,258,1028
61.187.191.3,2020-01-31,727902,8488,286,598,1281,1192,1143,3988
61.195.194.26,2020-01-31,727902,1874,90,123,253,238,225,945
61.195.195.153,2020-01-31,727902,1840,96,135,248,219,241,901
61.218.2.2,2020-01-31,727902,1989,92,151,211,272,261,1002
61.220.4.22,2020-01-31,727902,23572,530,1257,2494,3891,4376,11024
61.220.4.27,2020-01-30,727902,23701,496,1175,2524,3933,4421,11152
61.220.4.40,2020-01-31,727902,23770,534,1225,2632,3843,4469,11067
61.220.4.73,2020-01-30,727902,23625,491,1211,2553,3854,4412,11104
61.220.4.118,2020-01-31,727902,23208,487,1173,2538,3797,4329,10884
61.232.202.158,2020-01-31,727902,1936,87,154,254,221,229,991
61.234.254.5,2020-01-30,727902,13814,299,749,1679,2024,2464,6599
61.234.254.6,2020-01-31,727902,14369,296,744,1796,2100,2569,6864
61.235.70.98,2020-01-30,727902,2694,194,226,366,347,336,1225
61.236.93.33,2020-01-30,727902,20162,258,632,1648,2291,2720,12613
61.236.93.34,2020-01-30,727902,18555,219,575,1536,2126,2651,11448
61.247.0.8,2020-01-31,727902,6521,1496,1154,1128,547,537,1659
61.247.202.89,2020-01-31,727902,5396,150,243,459,560,676,3308
62.0.192.20,2020-01-30,727902,6497,481,226,465,557,615,4153
62.2.14.102,2020-01-31,727902,9952,245,580,1061,1020,1218,5828
62.2.17.60,2020-01-31,727902,2550,585,220,268,245,261,971
62.2.17.61,2020-01-30,727902,2525,591,179,251,262,269,973
62.2.24.158,2020-01-29,727902,2551,576,191,239,263,264,1018
62.2.24.162,2020-01-31,727902,2513,582,200,246,261,255,969
62.3.32.16,2020-01-31,727902,63702,2418,7278,14328,12015,7929,19734
62.3.32.17,2020-01-30,727902,150055,5900,18966,35991,28947,16872,43379
62.4.16.70,2020-01-31,727902,1884,110,138,224,223,246,943
62.4.17.69,2020-01-30,727902,1864,89,140,230,231,201,973
62.6.40.162,2020-01-31,727902,41334,2449,3995,8725,7698,3955,14512
62.6.40.178,2020-01-31,727902,40208,2696,3714,8364,7664,3853,13917
62.8.96.38,2020-01-31,727902,190585,3486,13598,40745,40682,32290,59784
62.12.130.66,2020-01-31,727902,16229,598,741,1594,1948,1993,9355
62.24.128.17,2020-01-31,727902,5629,1651,289,1036,823,536,1294
62.24.128.18,2020-01-31,727902,5806,1749,299,1062,910,550,1236
62.24.199.13,2020-01-31,727902,5832,1783,286,1081,907,515,1260
62.24.199.23,2020-01-30,727902,1942,142,146,228,229,261,936
62.31.64.39,2020-01-31,727902,1882,101,137,241,210,209,984
62.31.112.39,2020-01-30,727902,1908,97,136,244,219,249,963
62.31.144.39,2020-01-31,727902,1835,110,120,214,227,235,929
62.31.176.39,2020-01-31,727902,1882,95,130,211,252,239,955
62.32.46.100,2020-01-30,727902,49349,335,2003,5044,8508,8892,24567
62.33.189.250,2020-01-30,727902,3112,101,181,359,332,360,1779
62.37.236.200,2020-01-31,727902,16846,1416,1006,976,1146,1482,10820
62.37.237.140,2020-01-31,727902,2253,292,224,284,229,239,985
62.39.164.12,2020-01-30,727902,9020,167,374,1006,717,838,5918
62.40.32.33,2020-01-31,727902,119862,1251,1675,5795,24146,39829,47166
62.40.32.34,2020-01-31,727902,117594,1181,1544,5599,22347,39077,47846
62.41.26.253,2020-01-31,727902,1817,73,139,213,228,248,916
62.42.230.24,2020-01-30,727902,2465,642,185,250,230,231,927
62.42.230.135,2020-01-31,727902,1910,79,132,220,244,239,996
62.42.230.136,2020-01-31,727902,1916,103,137,241,256,226,953
62.53.142.228,2020-01-31,727902,2833,247,288,472,374,361,1091
62.53.180.102,2020-01-31,727902,3538,207,588,771,437,365,1170
62.53.206.3,2020-01-31,727902,1952,115,148,256,245,236,952
62.53.220.110,2020-01-31,727902,3522,334,504,677,450,362,1195
62.53.236.4,2020-01-30,727902,4249,833,1046,632,336,325,1077
62.53.247.120,2020-01-30,727902,2240,133,196,309,267,285,1050
62.56.230.100,2020-01-31,727902,42940,562,367,885,1321,1834,37971
62.58.50.4,2020-01-30,727902,1927,91,139,264,251,224,958
62.58.50.5,2020-01-31,727902,2304,354,214,257,265,250,964
62.58.50.6,2020-01-30,727902,2163,287,194,252,256,235,939
62.58.62.132,2020-01-30,727902,2144,289,241,236,219,244,915
62.65.128.10,2020-01-31,727902,18043,397,812,1653,1897,2422,10862
62.65.128.15,2020-01-31,727902,17956,415,774,1652,1924,2437,10754
62.68.98.8,2020-01-31,727902,3682,269,253,402,370,417,1971
62.69.62.6,2020-01-31,727902,34477,3237,4445,5730,5350,3758,11957
62.69.62.7,2020-01-31,727902,34760,3082,4231,6043,5475,3836,12093
62.69.64.167,2020-01-30,727902,37711,216,573,1805,3663,4211,27243
62.69.212.14,2020-01-30,727902,13914,452,1572,840,962,1084,9004
62.72.64.237,2020-01-31,727902,24532,719,1007,3390,3169,2984,13263
62.72.64.241,2020-01-31,727902,24527,711,1030,3213,3252,3012,13309
62.81.16.129,2020-01-30,727902,3334,161,470,384,312,374,1633
62.91.2.20,2020-01-31,727902,72147,1220,5950,13855,12538,11382,27202
62.94.0.41,2020-01-31,727902,167806,7493,5847,8500,16566,41790,87610
62.94.0.42,2020-01-31,727902,167275,7488,5915,8519,16559,41311,87483
62.95.76.145,2020-01-30,727902,2447,112,152,253,269,407,1254
62.100.30.228,2020-01-30,727902,1864,94,136,230,238,246,920
62.100.30.244,2020-01-31,727902,1890,72,142,243,229,281,923
62.100.32.133,2020-01-31,727902,1845,94,134,210,256,251,900
62.101.93.101,2020-01-31,727902,4575,1420,336,445,439,421,1514
